"go_id","name_1006","namespace_1003"
"1308","GO:0004113","2',3'-cyclic-nucleotide 3'-phosphodiesterase activity","molecular_function"
"3498","GO:0009214","cyclic nucleotide catabolic process","biological_process"
"11129","GO:0070427","nucleotide-binding oligomerization domain containing 1 signaling pathway","biological_process"
"6532","GO:0033091","positive regulation of immature T cell proliferation","biological_process"
"11216","GO:0070673","response to interleukin-18","biological_process"
"6341","GO:0032682","negative regulation of chemokine production","biological_process"
"2090","GO:0005684","U2-type spliceosomal complex","cellular_component"
"2629","GO:0006664","glycolipid metabolic process","biological_process"
"10193","GO:0052798","beta-galactoside alpha-2,3-sialyltransferase activity","molecular_function"
"6364","GO:0032732","positive regulation of interleukin-1 production","biological_process"
"11132","GO:0070430","positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway","biological_process"
"1635","GO:0004728","receptor signaling protein tyrosine phosphatase activity","molecular_function"
"6756","GO:0034142","toll-like receptor 4 signaling pathway","biological_process"
"7053","GO:0035251","UDP-glucosyltransferase activity","molecular_function"
"6992","GO:0035048","splicing factor protein import into nucleus","biological_process"
"7891","GO:0042748","circadian sleep/wake cycle, non-REM sleep","biological_process"
"9751","GO:0050951","sensory perception of temperature stimulus","biological_process"
"12403","GO:1900242","regulation of synaptic vesicle endocytosis","biological_process"
"9299","GO:0048297","negative regulation of isotype switching to IgA isotypes","biological_process"
"8887","GO:0046331","lateral inhibition","biological_process"
"10839","GO:0061106","negative regulation of stomach neuroendocrine cell differentiation","biological_process"
"10961","GO:0061626","pharyngeal arch artery morphogenesis","biological_process"
"11589","GO:0071820","N-box binding","molecular_function"
"11699","GO:0072141","renal interstitial fibroblast development","biological_process"
"12956","GO:2000227","negative regulation of pancreatic A cell differentiation","biological_process"
"13205","GO:2000978","negative regulation of forebrain neuron differentiation","biological_process"
"7443","GO:0036312","phosphatidylinositol 3-kinase regulatory subunit binding","molecular_function"
"2298","GO:0006089","lactate metabolic process","biological_process"
"6511","GO:0033028","myeloid cell apoptotic process","biological_process"
"6750","GO:0034134","toll-like receptor 2 signaling pathway","biological_process"
"813","GO:0002537","nitric oxide production involved in inflammatory response","biological_process"
"6351","GO:0032707","negative regulation of interleukin-23 production","biological_process"
"11135","GO:0070434","positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway","biological_process"
"7015","GO:0035101","FACT complex","cellular_component"
"11133","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","biological_process"
"7648","GO:0042132","fructose 1,6-bisphosphate 1-phosphatase activity","molecular_function"
"875","GO:0002756","MyD88-independent toll-like receptor signaling pathway","biological_process"
"11532","GO:0071624","positive regulation of granulocyte chemotaxis","biological_process"
"2946","GO:0007253","cytoplasmic sequestering of NF-kappaB","biological_process"
"6762","GO:0034154","toll-like receptor 7 signaling pathway","biological_process"
"8657","GO:0045627","positive regulation of T-helper 1 cell differentiation","biological_process"
"11214","GO:0070671","response to interleukin-12","biological_process"
"11378","GO:0071225","cellular response to muramyl dipeptide","biological_process"
"8937","GO:0046527","glucosyltransferase activity","molecular_function"
"4223","GO:0015760","glucose-6-phosphate transport","biological_process"
"5755","GO:0031084","BLOC-2 complex","cellular_component"
"9355","GO:0048512","circadian behavior","biological_process"
"8110","GO:0043293","apoptosome","cellular_component"
"2642","GO:0006684","sphingomyelin metabolic process","biological_process"
"10686","GO:0060729","intestinal epithelial structure maintenance","biological_process"
"744","GO:0002327","immature B cell differentiation","biological_process"
"13201","GO:2000973","regulation of pro-B cell differentiation","biological_process"
"5065","GO:0021557","oculomotor nerve development","biological_process"
"5066","GO:0021558","trochlear nerve development","biological_process"
"8646","GO:0045608","negative regulation of auditory receptor cell differentiation","biological_process"
"8816","GO:0045977","positive regulation of mitotic cell cycle, embryonic","biological_process"
